statefp,stusps,year,speimean
40,OK,2009,0.218258847
40,OK,2010,-0.032074304
40,OK,2011,-1.891409945
40,OK,2012,-0.922294933
40,OK,2013,0.598790785
40,OK,2014,-0.176814444
40,OK,2015,1.242763841
40,OK,2016,0.131450176
40,OK,2017,0.364094272
40,OK,2018,-0.180176916
40,OK,2019,0.96621063
40,OK,2020,0.050435527
40,OK,2021,0.212744548
40,OK,2022,-0.267041961
40,OK,2023,0.326554866
40,OK,2024,-0.449671203
40,OK,2025,0.856129697
41,OR,2005,0.189578666
41,OR,2006,-0.474773971
41,OR,2007,-1.067251119
41,OR,2008,-0.29225289
41,OR,2009,0.028701592
41,OR,2010,0.638217188
41,OR,2011,0.882320159
41,OR,2012,-0.118819437
41,OR,2013,-0.630704407
41,OR,2014,-0.583594969
41,OR,2015,-1.203611892
41,OR,2016,-0.883018077
41,OR,2017,-0.672227611
41,OR,2018,-0.811730065
41,OR,2019,0.372744751
41,OR,2020,-0.611036417
41,OR,2021,-1.95246433
41,OR,2022,-0.484709964
41,OR,2023,-0.213700237
41,OR,2024,-0.964817594
41,OR,2025,-1.089451012
42,PA,2005,-0.812474385
42,PA,2006,-0.016293721
42,PA,2007,-0.233672312
42,PA,2008,0.27015837
42,PA,2009,-0.00840838
42,PA,2010,-0.751826461
42,PA,2011,0.987826904
42,PA,2012,-0.841359432
42,PA,2013,-0.061903346
42,PA,2014,0.445230884
42,PA,2015,0.227294522
42,PA,2016,-0.71607514
42,PA,2017,0.634104731
42,PA,2018,1.389623458
42,PA,2019,0.804819346
42,PA,2020,-0.162382937
42,PA,2021,0.177282369
42,PA,2022,0.330962081
42,PA,2023,-0.412866754
42,PA,2024,-0.157137859
42,PA,2025,0.211985788
44,RI,2005,-0.284460981
44,RI,2006,0.627799461
44,RI,2007,0.10944157
44,RI,2008,0.299788664
44,RI,2009,0.839146544
44,RI,2010,0.086051603
44,RI,2011,0.273393536
44,RI,2012,-0.545797178
44,RI,2013,0.002705202
44,RI,2014,0.039145947
44,RI,2015,-0.750360461
44,RI,2016,-1.023231295
44,RI,2017,0.291807598
44,RI,2018,-0.071207036
44,RI,2019,0.599928135
44,RI,2020,-0.99783905
44,RI,2021,0.211017436
44,RI,2022,0.157280616
44,RI,2023,0.352750992
44,RI,2024,0.861112995
44,RI,2025,-0.107713689
45,SC,2005,0.545438842
45,SC,2006,-0.619577106
45,SC,2007,-1.119201334
45,SC,2008,-0.853563247
45,SC,2009,-0.0384257
45,SC,2010,-1.000339648
45,SC,2011,-0.672931607
45,SC,2012,-0.44883816
45,SC,2013,1.221767365
45,SC,2014,-0.207215874
45,SC,2015,-0.731768738
45,SC,2016,-0.382460011
45,SC,2017,-0.604080092
45,SC,2018,0.272026736
45,SC,2019,-0.882905855
45,SC,2020,0.882539761
45,SC,2021,-0.066927539
45,SC,2022,-0.731229785
45,SC,2023,0.168125208
45,SC,2024,0.060039881
45,SC,2025,0.059518307
46,SD,2005,0.004032103
46,SD,2006,-0.846158439
46,SD,2007,0.230700688
46,SD,2008,0.443693144
46,SD,2009,0.36298719
46,SD,2010,0.653942466
46,SD,2011,0.582076396
46,SD,2012,-1.193030758
46,SD,2013,0.598794292
46,SD,2014,0.344240495
46,SD,2015,0.045050827
46,SD,2016,-0.041945388
46,SD,2017,-0.383551152
46,SD,2018,0.444735584
46,SD,2019,1.50797083
46,SD,2020,-0.370665833
46,SD,2021,-0.841103866
46,SD,2022,0.23793975
46,SD,2023,-0.089357837
46,SD,2024,0.293050405
46,SD,2025,0.414977819
47,TN,2005,-0.194805388
47,TN,2006,-0.187344088
47,TN,2007,-1.573359911
47,TN,2008,-0.400630784
47,TN,2009,0.649751999
47,TN,2010,-0.959198841
47,TN,2011,0.415847147
47,TN,2012,-0.945625504
47,TN,2013,1.070046475
47,TN,2014,0.049367141
47,TN,2015,0.361067274
47,TN,2016,-0.803085124
47,TN,2017,0.604402556
47,TN,2018,0.361038901
47,TN,2019,0.404070367
47,TN,2020,0.842689164
47,TN,2021,0.806743402
47,TN,2022,0.891198297
47,TN,2023,0.258843158
47,TN,2024,-0.058091339
47,TN,2025,0.426997931
48,TX,2005,-0.032688162
48,TX,2006,-0.805467008
48,TX,2007,0.687919345
48,TX,2008,-0.114111624
48,TX,2009,-0.111797091
48,TX,2010,0.3661323
48,TX,2011,-2.433051288
48,TX,2012,-1.055791452
48,TX,2013,-0.465186541
48,TX,2014,-0.124166696
48,TX,2015,0.677048916
48,TX,2016,-0.169773753
48,TX,2017,0.057505818
48,TX,2018,-0.96773387
48,TX,2019,-0.176049629
48,TX,2020,-1.049457512
48,TX,2021,0.328265268
48,TX,2022,-0.830510849
48,TX,2023,-0.427749553
48,TX,2024,-0.96985026
48,TX,2025,-0.023970314
49,UT,2005,0.573550349
49,UT,2006,-0.513262329
49,UT,2007,-1.164889285
49,UT,2008,-0.389762934
49,UT,2009,-0.072132166
49,UT,2010,0.136744792
49,UT,2011,1.109249674
49,UT,2012,-1.355411378
49,UT,2013,-0.602788893
49,UT,2014,-0.068186083
49,UT,2015,-0.129201154
49,UT,2016,-0.613231642
49,UT,2017,-0.664259521
49,UT,2018,-1.358774373
49,UT,2019,0.537424881
49,UT,2020,-1.36886469
49,UT,2021,-1.06181041
49,UT,2022,-1.306760119
49,UT,2023,0.138562058
49,UT,2024,-0.674234703
49,UT,2025,-1.24351996
50,VT,2005,0.272158362
50,VT,2006,1.129969484
50,VT,2007,0.06553425
50,VT,2008,1.128906231
50,VT,2009,0.552093085
50,VT,2010,0.04118537
50,VT,2011,1.340932996
50,VT,2012,-0.43860546
50,VT,2013,0.784081801
50,VT,2014,0.644703627
50,VT,2015,-0.392827416
50,VT,2016,-0.71720733
50,VT,2017,0.818303307
50,VT,2018,0.001808781
50,VT,2019,0.470291276
50,VT,2020,-0.461102699
50,VT,2021,-0.227783061
50,VT,2022,1.269057988375425
50,VT,2023,0.667354745
